spring_k_f,spring_k_r,arb_k_f,arb_k_r,lap_time
90490.4175805776,28868.336468074383,23421.210312013292,4447.697397820548,9.74558442568381
41962.32906084494,44307.313294508975,25835.829044701448,12391.045177104226,9.660664950872265
49548.754546929784,32764.884218631327,9844.380296365112,5255.492625836354,9.682242080732719
96942.45395196773,40153.17151601875,21983.4878701759,9282.957095866142,9.718093621821145
79378.16608519366,55080.85482316875,15475.855324201113,852.6251700658453,9.68906358763327
52096.76490396585,76293.64220956105,3604.3952963407646,9533.015915900834,9.658939055240076
54088.6466011705,27441.60838764441,12979.991849440945,13571.714717565957,9.68603749287775
116338.28420317298,45895.08531402727,488.2856766138274,13202.436770067434,9.701864021611664
45469.66985674474,59788.86208818954,829.5666283086289,210.7896480686786,9.646939318694931
105948.03139786581,27657.28852213222,11515.963597642367,14574.763950398814,9.729762087054912
101825.13923245107,78250.19654118265,16694.960234699665,2901.5725018963467,9.676699748569701
44467.09607944192,24558.57069275096,28891.878243145475,8303.375392205233,9.711956327528288
83727.00179841,30158.074254917206,20070.01376962873,2249.4478297686746,9.740691238755645
94485.23024899914,64500.54474302239,22694.22519320605,10741.445322673353,9.68198902429042
95416.43368978467,46529.37764121413,13779.030450280852,7191.410244484802,9.704184170064204
59332.63881528381,42958.671138157064,11015.21458402782,14867.625085693797,9.66201267301229
60146.11267199976,58833.9261798026,7266.118925888187,2377.2037426453044,9.657273652196638
75187.67286617283,51068.98478323029,9417.81229907707,11294.360351720654,9.670698679343287
58858.638770692734,26229.818154240398,4491.25458874664,2153.8962080983506,9.71194049686608
50682.562496893326,33901.42504558193,14916.44517714881,10216.20763431702,9.67817188348235
112534.27458386905,48978.08394156798,29277.896942300096,10337.477031006923,9.71758846414771
72790.91517074645,63172.98564176731,15341.646097410532,8365.359207731146,9.66300337863129
70335.49128838656,76549.68656746899,18877.153184593026,5722.7759718691705,9.656014103745802
56621.53748977039,65785.69363217105,19604.77318662782,6027.7288055160825,9.654295145378248
119055.27495577864,22073.70502420517,17982.299114681922,12527.857675158784,9.756148671948104
114436.56772371696,35390.08785985678,16460.119505781073,13577.31177169892,9.726608185198355
68888.49963841368,36284.9329432523,28432.59577467843,3279.5818828616134,9.719906614285986
64361.4436151386,23929.219281036847,13431.63355652496,11009.822747640359,9.711741571481726
90277.61735033974,20426.234129317432,11673.484082559115,11635.753928693071,9.740143278906256
40496.592188065915,29384.16111321472,2035.1860440337343,11427.951836947315,9.652830777319837
70566.36081243491,78005.04601953355,14387.333351829018,7768.814444837204,9.648842939969017
91583.35433045524,24351.802754226643,27550.520818150082,9364.160685835048,9.748003513166493
88358.63881291098,25523.706628346685,6424.411054719467,14780.61599112174,9.716238847426952
73767.57554411984,37595.939058639546,6511.362676277787,8173.289709672773,9.691876075316996
58016.57631470342,76855.30896891712,8732.589715912456,13943.795250005816,9.64791048819019
72205.33666766474,71752.78790169363,4059.326031753753,3332.1203960717944,9.650804885999978
111010.60423957722,70319.90730107244,4600.264650398617,9485.949569814635,9.6760341619998
61424.435415877975,28093.5163760359,7076.0562113708465,82.78794211201749,9.718952844642505
77143.90036440056,34233.789156938285,24733.713638829686,6924.581993022014,9.72041518015756
69487.5064864644,46802.17320959242,8590.950807856967,8642.351438106176,9.673724217968411
96756.90362161765,64725.196446458714,25165.46790136577,8247.194058286786,9.687824731541925
101378.05901224341,44788.72331484126,12025.531538530138,239.3811395951774,9.721818758875486
103873.14444287091,47014.13018147908,27856.36232427898,6111.370715307621,9.720557095419466
57097.613963772965,31119.18692898531,18275.308827362696,2696.6317035455754,9.711830045777829
68225.96117599879,68902.28733078325,1816.2484100617628,543.8543985407289,9.650253874555506
108043.68300364859,57231.96600809064,29622.17124594203,5976.305321112691,9.709918638379781
79691.1950271556,29701.501621049672,17043.951340668944,11617.914999895385,9.71587115357812
99701.2841554604,60721.26184522314,25959.478027419937,6356.927206874573,9.697374618530482
57950.89682703541,62050.66619836253,17377.007352506324,1561.5548768881697,9.66327984864875
72960.24688339166,56037.631387748756,7620.534800142814,13101.725724532493,9.661947002339977
108489.03806470352,60208.45207218171,27974.88882206965,2614.2076873086567,9.70969929551539
109994.42548491673,56831.103191000344,5830.226667332022,9774.175599479035,9.691158210322255
73551.26699814858,72348.1010205138,26145.860634653567,2056.416254308432,9.669698436079367
117520.08973933598,77658.76264214533,22242.688930557626,4219.576199706335,9.689608388776671
71547.57689937708,62562.8738589049,20110.865617349024,6870.181635463129,9.668499320563697
41479.620523287624,21353.42478639454,10550.570368085462,8028.328255721478,9.692673753977461
74685.42150924719,68622.55747120638,12296.271076292063,11958.36014682549,9.655646294157357
44946.40995532757,63468.23077887477,25478.949060440413,14968.566426051279,9.641455686737837
93613.50723514272,43521.18723402968,21310.046516759965,6614.672931329027,9.714137779096044
89413.04735937789,73764.57096522435,12897.324482403452,5541.814200242569,9.666657589596774
94068.2285540469,74360.95487350246,18565.103888705034,4835.1922807050705,9.674529133214635
91757.59367172,63839.678313867196,5309.533926399192,1244.057132304474,9.678420698924295
112250.32638263713,57072.23537408795,12352.210346163005,11109.938202618576,9.695304350730309
69818.44124716948,63725.64813111459,7014.5006455503635,12469.04892898174,9.650237873023785
104073.37249463044,51468.41657604376,18440.016171456722,13380.417475218266,9.698079166882344
88741.53070232293,74652.6007428631,15253.44979891139,8764.209605027165,9.663941217597879
92031.61181100502,66750.34048317942,26357.291987649307,13488.478995360596,9.677536748607315
55153.80397453386,73393.65559509907,16641.69068862536,10486.901889679812,9.638007211784776
96378.64722694912,45322.65685516671,10847.892820980074,13320.477715737597,9.695348415717445
71872.80356121917,75348.64212889333,8868.749258664808,986.1651279883346,9.654014147051816
82382.60997519488,52945.55047712104,18714.488269334342,2531.2959318125845,9.69506791937366
87771.5069393029,56475.12127228904,26842.611882010864,12346.978939615532,9.687553569246854
48190.49882051295,73069.49842912889,5124.981216931716,10046.102860015118,9.659983163405967
62830.06325239278,71270.26605752604,3923.4637572603374,12682.301014205428,9.644153173807327
51208.17172776536,44059.39223591793,21783.0783688843,1901.813754300334,9.683607253982567
86488.40145816875,72759.63433747605,18969.589794607855,12861.433284735718,9.662985485478773
81656.97114235097,58561.16019032194,9692.236575584948,1302.0327546572166,9.680306581099968
107893.41467299966,79058.0694767138,22128.31840889644,14743.733297355382,9.67243898214497
92706.97202378846,41789.74645696546,24395.041132526065,3500.4378326690594,9.723939515432315
102648.21436810923,68394.27699636322,6705.468528814307,13728.835655496348,9.669195229565887
65633.46079218472,57955.72687150998,17650.745819249296,1384.8423907627498,9.673450352209588
52860.57580449055,34504.22379783197,19079.34122580794,2735.0458292950693,9.699941889336564
80946.83294829295,67913.55331574526,22839.766025653455,9134.81965551557,9.67012421784573
42922.0807484726,70441.78427950223,18130.184574404768,11353.921519459356,9.646581904958293
49961.96170070802,48582.28531151857,9137.326017176472,7054.804513297453,9.654353912468617
117945.03682798489,49112.33592622727,4829.867373587235,10155.473849665022,9.705760927432108
76086.95035814818,28461.465548305074,6158.0959405774,3205.996248462061,9.724297988865002
110563.96964185669,42171.485240730675,28557.575144996383,1487.1531521930408,9.740304567879482
46574.01975541102,74128.27084578984,1130.1022270528158,8810.802616836516,9.669791207453192
70894.43064399737,43760.22658504638,11326.177017663686,9630.030491885804,9.681061792419499
97627.50550572395,40664.079923449666,22482.43446511498,5393.421824106692,9.724627611843786
100936.8546859838,35174.41750976289,14733.851787578724,4899.657644001856,9.73267740786422
116666.5448966687,28130.49003579154,23285.6201779394,9204.709879431735,9.752270933141444
115854.32319289118,45705.668005938714,25626.35825270625,8913.916247059335,9.724085537567545
98825.5490146497,65468.62878884037,15092.502026583388,7295.273571849197,9.682424360894629
81378.80277389885,71919.15800394845,15782.954775913591,13014.04728269066,9.660397745250972
57449.45621060767,30204.010536522703,4992.335964599453,3003.6604004997116,9.697685947807685
65552.60856911319,77044.83989624276,24954.43891740132,65.85587412486656,9.66253656023664
84564.69680001232,57594.17109046837,14098.154597116709,10915.926152861868,9.67555116436905
66869.84019552148,23211.392292396773,21681.21778773022,9941.826440469908,9.726543185540343
67879.22904342301,61424.467431345336,11132.805894685273,10641.70586917529,9.656908778926093
107201.18613686497,47336.23999270768,17807.413734320395,4287.23275652543,9.718630746900068
104757.43218725146,31400.26858085773,10250.14728958402,626.2406238330902,9.749180571627747
89163.82370920635,33530.88998033101,21145.65007451933,6806.937895646914,9.728419140623666
55942.79124993335,70766.96961779233,28170.269365918066,4356.702132965183,9.658625594994122
61737.492384269004,55389.15118685159,19349.185524880697,9896.125656223918,9.663645679125116
108957.6299289409,61759.55545674217,27114.217076905894,11786.29433678077,9.696334286069684
103177.1072239387,44959.710843907495,2710.8306854741577,8492.091870067172,9.702039121493657
75720.75168640855,68048.60593440339,20393.977305067943,2834.866341696071,9.670656993345185
42350.03052827774,79848.6407029421,10088.221780750673,8577.74911165677,9.667036367626173
46859.54756009523,47853.436102267675,8439.806836209727,14685.521888184832,9.640342333032871
76691.69649947289,30587.028590815607,152.96928226519773,3554.1342295517197,9.712635357722814
107178.19987400349,38415.10730902174,3893.647417262975,4958.689071647489,9.723163750092489
118116.16868595974,39748.06164607325,25336.24184912637,5236.235007833976,9.740360949088211
46007.98912817832,51962.43180726245,24782.38785774879,12027.269374341917,9.657641017535573
47771.03474001655,62856.46092360048,13058.096331966286,14077.399302561396,9.644674598196344
80168.79311367698,46190.06721662328,7702.615026713203,9679.455419272837,9.682804807961805
68740.62440403199,36947.49417846592,24089.394841388883,4764.437345288803,9.711703209126389
100352.3129895209,48159.771617038175,9258.288668132813,7702.147154717939,9.701242506490873
113828.83871452745,77416.70373588902,2154.80563238726,12644.114182756084,9.666519704080319
105036.48675622852,41234.71144199091,5611.754062738649,3876.2219316512073,9.719674811879008
84385.57606628905,36074.479986752944,29778.880098736474,2983.0805348846843,9.733660501033519
103371.01682675115,21630.268429870423,21494.699672833445,1151.4038638349093,9.77706379906724
50939.026777391584,34905.135754452785,27331.885166702104,3633.814171230024,9.704114810970806
91027.43272192805,79212.19625571769,27695.901399832463,5811.544556654493,9.673035657403123
105305.3177246071,38034.07913398289,12461.84142040572,9037.227530611268,9.721282865223825
100591.88995410377,37760.03887677085,402.83239623836977,1062.1963228241198,9.724431505286596
54602.34334139303,21165.24298269942,25789.19112793906,311.8505091720403,9.75216800352787
65177.77283323725,66115.81656915991,23199.880493924768,12962.025416610632,9.658474626642432
85874.4426520792,39877.19222998247,26997.79757346599,12237.961993160949,9.709455546964397
63657.380790570176,71488.32152804255,17226.958065140905,7979.936969404118,9.65096739004591
97552.13097765404,60090.52419167653,26406.235622864857,13125.340164556226,9.688926727473698
51691.15804345816,20806.71154702377,16846.850242625085,9397.094522588699,9.713305862186962
67444.86332193454,29107.733409624154,29998.390853253648,6584.320675604831,9.728287481929982
89789.96467881309,69450.87460872252,3125.1139698185198,3087.277178208732,9.666090061441253
83204.34679892656,69933.20917159147,15624.139540367742,8400.725875175529,9.664884468804615
44343.36164457249,54065.526316023694,29191.114092623713,14468.996303726537,9.65516098923186
53297.8679308821,60969.86629180322,23929.600959871437,8988.699526964007,9.657465633704154
43927.629339107654,48227.86891335313,16343.30263665386,6282.536078629222,9.65759671679852
61083.17626787419,58252.940737279525,2912.0332240477805,4688.0032518112,9.650884941333514
93166.35386617723,67626.8997637833,623.4617422856187,12102.180847464115,9.662723921432871
43340.34037994629,26398.939023394596,14585.564547144071,1720.6418638708915,9.705296138762078
106653.35664602695,65138.1417694215,5949.231527505402,5636.664084503461,9.683758098832701
41006.97099656508,36569.411723162186,17422.197672467824,2437.1406387822376,9.67877907207459
82436.17910245145,25823.862817838904,22.45885517494174,11899.455690330635,9.710218534077141
99400.47321658742,52240.57668769863,28334.25304261559,5070.108561997385,9.711825851179086
